z_obs,6.0,7.0,8.0,8.5,9.0,10.0,11.0,12.0
5.5,3838379.4865063895,31156718.975260887,81619591.71819896,108184714.5533238,134068844.66812764,176073592.58432254,213621390.91306478,245822745.5831805
5.4,5238743.760612356,37039958.84129277,91559531.32473387,118758604.41196837,146029294.976711,188543927.92865682,227810580.19525903,259790538.25009778
5.3,7282020.255760592,44324496.56631582,102357888.25060837,131288676.10309531,158771479.2113699,201714462.55546215,241039603.3121536,274454919.4970928
5.2,9765470.313875739,51941294.0779484,114060076.87587306,143469835.68957108,172333098.8359656,215616964.3721582,254932488.53847438,287946444.2034958
5.1,12914123.116068657,61242941.47615668,126712298.4047224,157847835.3978378,186754870.12357986,230290177.41561317,271388414.4254495,304030522.06786287
5.0,17153296.656485677,70868449.81677404,140364090.1281303,173264927.9476633,202077012.84060878,245770349.9783076,286779227.16931707,320918112.96225774
4.9,22004150.45023981,82489268.4168353,155062792.24427262,188201553.27688867,218342997.1193771,262096777.19580904,302942576.8531921,336536442.2090344
4.8,27844940.11489259,95438749.29864119,172336582.38620648,205748675.5850035,235595334.4409927,279311411.12475526,322015610.3154896,355077380.89558816
4.7,35333583.456694536,108669990.1591059,189392851.50133076,222730702.64361003,253884687.54241836,297466322.5712736,339917467.0122502,374546516.08615994
4.6,43585928.31638723,124428533.82642066,207664159.4051571,242619628.576521,273262173.50842327,318678007.10186857,358726324.2114854,392655405.07874525
4.5,53193893.32047052,140430800.38514328,227215576.34417877,261850644.474962,293780000.73387533,338930548.2010382,380831356.2140083,414052726.1983343
4.4,65110841.68114251,159351500.2912524,248106685.88494253,284312936.9147173,315497447.6258397,360274265.1604272,401672063.48742163,436535301.7551658
4.3,77919249.84679322,178464621.82098114,270408599.7631269,306027172.4716616,338476959.6097798,382766815.2466427,423574776.9527914,457567557.5786541
4.2,92482972.1550341,200919459.5885467,294185555.1800757,331323323.77582574,362782970.9561413,406468917.49965274,449218402.7746086,482304823.71197855
4.1,110134713.22058278,223505368.11715823,319512956.12469083,355774084.11125016,388481823.6313677,431447462.5383127,473510275.6932333,508320154.4283739
4.0,128766542.6242323,249896055.18345147,348872542.08603406,384189677.46164846,415651142.8573251,457772774.9340911,499054836.84686756,532817452.0885013
3.9,149602207.4152693,276348042.51673317,377675673.76172173,414365672.846432,444362555.69829303,485519517.870807,525925480.0720442,561493090.2656503
3.8,174424705.6025059,307112061.3354872,408277778.29494464,443541921.85092664,474698337.6673428,514770894.7592933,557221384.2431407,591676633.3386093
3.7,200295804.51760527,337860171.5619507,440779005.16178226,477359605.36393934,506757081.2737545,545605799.9223766,587077038.4320705,620293742.3615029
3.6,228866813.28096053,373471534.5123892,475269592.2390024,510083604.2147976,540627777.4342828,578124020.8546093,618512604.4967425,653635376.5040191
3.5,262459834.91801265,408979700.82097656,511864824.9500769,547940044.7411724,576411799.2626252,612426862.0384468,654982712.8522079,688761305.9369601
